일시,평균기온
2023-01-01,0.0
2023-01-02,-5.6198063121304855
2023-01-03,-0.13160872134100943
2023-01-04,24.95671225744853
2023-01-05,-12.508490999231903
2023-01-06,-54.01048068281673
2023-01-07,97.32147262497699
2023-01-08,-32.88729683156794
2023-01-09,-86.97805433168367
2023-01-10,-3.822825621469349
2023-01-11,-52.35121898646294
2023-01-12,-12.19686721813498
2023-01-13,2.9344937832232993
2023-01-14,2.533471163955223
2023-01-15,-7.011902825834067
2023-01-16,-9.279958202827878
2023-01-17,-6.959457812880046
2023-01-18,-1.2330700872077145
2023-01-19,12.96488512943749
2023-01-20,-3.5381427596109063
2023-01-21,-18.356543336451427
2023-01-22,-19.952399585647306
2023-01-23,-22.92515543839328
2023-01-24,-11.437038343649974
2023-01-25,4.948047374676378
2023-01-26,-1.2659117643652422
2023-01-27,-12.866567712502235
2023-01-28,-14.112389363483775
2023-01-29,-7.960419444251321
2023-01-30,9.119399224583342
2023-01-31,12.326610947211229
2023-02-01,0.0025116149593564785
2023-02-02,-1.9478599292690149
2023-02-03,-3.690496481272195
2023-02-04,-6.4996316780841035
2023-02-05,3.081480012065331
2023-02-06,13.538566434473665
2023-02-07,14.194970194363565
2023-02-08,12.052198318725335
2023-02-09,-3.939594869203919
2023-02-10,-16.55749352099763
2023-02-11,-8.877479395147011
2023-02-12,-5.820444790381185
2023-02-13,6.889668461778989
2023-02-14,5.5672438058045515
2023-02-15,-3.0476558397005604
2023-02-16,1.9619088980090282
2023-02-17,0.6046082375329576
2023-02-18,-1.5769474515368032
2023-02-19,5.245731114624249
2023-02-20,7.2676231334181125
2023-02-21,-5.305408435231634
2023-02-22,1.557644638218889
2023-02-23,1.2210933904566517
2023-02-24,5.315969052515445
2023-02-25,8.762537859071893
2023-02-26,1.2031027833456385
2023-02-27,-1.2484012457793625
2023-02-28,4.960004657717278
2023-03-01,5.657849823321243
2023-03-02,9.617946844799292
2023-03-03,6.583899162104027
2023-03-04,-1.4039032602857606
2023-03-05,4.086529980412095
2023-03-06,8.34369872389992
2023-03-07,9.593948472838811
2023-03-08,15.638440839929345
2023-03-09,11.787473588398523
2023-03-10,12.489044138120349
2023-03-11,7.66969986769495
2023-03-12,4.547223398302442
2023-03-13,-11.005767005408345
2023-03-14,-6.733348103465275
2023-03-15,9.377265121083639
2023-03-16,7.59546178792904
2023-03-17,15.619433605983197
2023-03-18,8.811249884729648
2023-03-19,12.60697962809024
2023-03-20,7.271867515884146
2023-03-21,1.741065276545811
2023-03-22,2.8447320604789095
2023-03-23,7.5606564595481585
2023-03-24,5.400799394230969
2023-03-25,5.083099987241731
2023-03-26,5.199511027843201
2023-03-27,17.89285955552775
2023-03-28,15.283230167874763
2023-03-29,-0.938674962601425
2023-03-30,1.0993374302526462
2023-03-31,-2.9420287066276885
2023-04-01,10.978783390491232
2023-04-02,10.430353644050188
2023-04-03,6.065196813327235
2023-04-04,9.706048320753752
2023-04-05,2.6950143854238533
2023-04-06,5.856606094063778
2023-04-07,18.963262772401805
2023-04-08,9.76902882552411
2023-04-09,18.98882151690659
2023-04-10,9.794618246489676
2023-04-11,3.7799875569261445
2023-04-12,11.426473156019014
2023-04-13,2.7529341254846713
2023-04-14,9.915876543234926
2023-04-15,13.350481291217914
2023-04-16,12.782397918576414
2023-04-17,11.135570510756105
2023-04-18,13.976975419971744
2023-04-19,17.1617576469479
2023-04-20,17.31008351693233
2023-04-21,20.46336443090005
2023-04-22,11.428347840784939
2023-04-23,10.704649737342539
2023-04-24,12.305153814120061
2023-04-25,13.086877103289805
2023-04-26,30.065142643940092
2023-04-27,21.396630839106166
2023-04-28,8.85191257667799
2023-04-29,13.777986059650907
2023-04-30,9.654816146252273
2023-05-01,16.58661473512743
2023-05-02,13.110412202437434
2023-05-03,14.544817390028832
2023-05-04,16.41102407213804
2023-05-05,15.213782936612148
2023-05-06,18.31187955728278
2023-05-07,12.241232112564841
2023-05-08,13.191840861712087
2023-05-09,16.763057506065138
2023-05-10,16.25245779887842
2023-05-11,18.335969519160773
2023-05-12,13.515449231780778
2023-05-13,14.58632898952953
2023-05-14,17.076111121982404
2023-05-15,18.95540063943836
2023-05-16,24.882443645110612
2023-05-17,26.295142485894544
2023-05-18,19.372252951141434
2023-05-19,14.464604111854584
2023-05-20,12.330745478178205
2023-05-21,15.5326879105302
2023-05-22,18.37503387905032
2023-05-23,19.477370629661408
2023-05-24,21.94405162383012
2023-05-25,15.777281014653738
2023-05-26,16.62844927548826
2023-05-27,16.178945264621063
2023-05-28,19.294351398827665
2023-05-29,22.347619867151906
2023-05-30,24.365308882687742
2023-05-31,24.910928093373485
2023-06-01,22.433766969321848
2023-06-02,17.071501488908005
2023-06-03,19.521714938953956
2023-06-04,12.852062253941982
2023-06-05,14.80082597368547
2023-06-06,25.743959147686986
2023-06-07,25.756647997086233
2023-06-08,21.48098791098559
2023-06-09,16.332457314068186
2023-06-10,15.926585783655653
2023-06-11,22.45697972547334
2023-06-12,23.620880283458604
2023-06-13,29.66455922192233
2023-06-14,20.465757936519594
2023-06-15,16.783463115322334
2023-06-16,26.197236704656035
2023-06-17,23.412266156083305
2023-06-18,23.160099775617432
2023-06-19,18.30076893467996
2023-06-20,23.395541156993595
2023-06-21,20.585435427381213
2023-06-22,27.49613485542219
2023-06-23,23.99672537221096
2023-06-24,18.74578580814756
2023-06-25,27.828145334477625
2023-06-26,25.44747191953617
2023-06-27,18.13063988481193
2023-06-28,17.638097476049836
2023-06-29,24.16925370409311
2023-06-30,25.603320322600098
2023-07-01,28.67726009821122
2023-07-02,25.544023514644888
2023-07-03,25.6085055422944
2023-07-04,20.55775746593615
2023-07-05,26.649934053932704
2023-07-06,28.70292285933052
2023-07-07,27.248107184851065
2023-07-08,28.322167003334712
2023-07-09,25.229995573634312
2023-07-10,24.554614680353193
2023-07-11,25.563001442459523
2023-07-12,25.71431084513714
2023-07-13,27.361801945937252
2023-07-14,23.729718629469737
2023-07-15,21.160971803044504
2023-07-16,23.45507016447153
2023-07-17,27.47174519067753
2023-07-18,31.59152995421887
2023-07-19,27.695263265920463
2023-07-20,25.595938968304072
2023-07-21,25.21278904231394
2023-07-22,25.679759043769728
2023-07-23,30.23041693991903
2023-07-24,28.31370225143571
2023-07-25,28.5638666299741
2023-07-26,29.55117870896276
2023-07-27,27.20318142936935
2023-07-28,29.394288831350465
2023-07-29,26.73688472920799
2023-07-30,28.320243512644335
2023-07-31,27.622675680538336
2023-08-01,25.237192613270928
2023-08-02,25.910114769894008
2023-08-03,25.2938817511836
2023-08-04,26.025367078239853
2023-08-05,25.841598980106244
2023-08-06,29.401920769468642
2023-08-07,26.77411846197098
2023-08-08,27.973363916823853
2023-08-09,29.942597496762133
2023-08-10,26.20392835072673
2023-08-11,27.955277813481736
2023-08-12,21.61822834147074
2023-08-13,20.946590256526378
2023-08-14,25.361573621502192
2023-08-15,25.365414653622963
2023-08-16,18.649801940813827
2023-08-17,16.937855527144904
2023-08-18,23.61504678441022
2023-08-19,25.135927580797777
2023-08-20,30.013713188407216
2023-08-21,26.36873973606518
2023-08-22,20.804735532686376
2023-08-23,17.10130933297256
2023-08-24,22.88433819135453
2023-08-25,21.44471264484126
2023-08-26,21.23557336105744
2023-08-27,18.21353756029154
2023-08-28,18.564676889487224
2023-08-29,24.9571385885238
2023-08-30,22.7462382744581
2023-08-31,25.850253311455898
2023-09-01,22.524397118787423
2023-09-02,16.315498483658043
2023-09-03,16.441672605734233
2023-09-04,17.756826281440084
2023-09-05,17.601157549003034
2023-09-06,20.56188645035154
2023-09-07,25.164962960764573
2023-09-08,22.272690610625492
2023-09-09,20.30519499960132
2023-09-10,21.345048441096687
2023-09-11,20.566471096708877
2023-09-12,22.540472925545032
2023-09-13,21.018769228301295
2023-09-14,14.806479592211288
2023-09-15,20.80926562253199
2023-09-16,18.88814769110769
2023-09-17,12.32617590952566
2023-09-18,17.458569189929328
2023-09-19,16.038974640228446
2023-09-20,16.533486466509675
2023-09-21,14.201778096138373
2023-09-22,16.412159995354013
2023-09-23,15.09768725649683
2023-09-24,16.359536106105267
2023-09-25,18.125709409480777
2023-09-26,15.4345469074227
2023-09-27,15.25365859162892
2023-09-28,16.149105425439824
2023-09-29,16.45490731736608
2023-09-30,21.38961963173333
2023-10-01,19.33907675824932
2023-10-02,20.06782403538055
2023-10-03,19.409963444394755
2023-10-04,8.913943464355615
2023-10-05,8.199367984618135
2023-10-06,12.368377180900794
2023-10-07,15.881457419598881
2023-10-08,21.255943969081052
2023-10-09,17.700200615605063
2023-10-10,15.733670088865786
2023-10-11,15.177295100971278
2023-10-12,13.533895454499802
2023-10-13,9.113356890408536
2023-10-14,5.28008684299304
2023-10-15,11.096009772858595
2023-10-16,11.413415404293719
2023-10-17,15.403934541614035
2023-10-18,15.708510581308879
2023-10-19,12.333439869288085
2023-10-20,13.111072437724971
2023-10-21,2.8393522453056264
2023-10-22,4.161612817879238
